E_nu_MeV,X_times_N_anti_nu_mu
0.00000000e+00,0.00000000e+00
5.28828829e-02,7.64473811e-01
1.05765766e-01,3.05585324e+00
1.58648649e-01,6.87107530e+00
2.11531532e-01,1.22070770e+01
2.64414414e-01,1.90607953e+01
3.17297297e-01,2.74291672e+01
3.70180180e-01,3.73091297e+01
4.23063063e-01,4.86976199e+01
4.75945946e-01,6.15915747e+01
5.28828829e-01,7.59879311e+01
5.81711712e-01,9.18836261e+01
6.34594595e-01,1.09275597e+02
6.87477477e-01,1.28160780e+02
7.40360360e-01,1.48536113e+02
7.93243243e-01,1.70398532e+02
8.46126126e-01,1.93744976e+02
8.99009009e-01,2.18572379e+02
9.51891892e-01,2.44877681e+02
1.00477477e+00,2.72657817e+02
1.05765766e+00,3.01909724e+02
1.11054054e+00,3.32630340e+02
1.16342342e+00,3.64816602e+02
1.21630631e+00,3.98465447e+02
1.26918919e+00,4.33573811e+02
1.32207207e+00,4.70138631e+02
1.37495495e+00,5.08156846e+02
1.42783784e+00,5.47625391e+02
1.48072072e+00,5.88541203e+02
1.53360360e+00,6.30901220e+02
1.58648649e+00,6.74702379e+02
1.63936937e+00,7.19941616e+02
1.69225225e+00,7.66615869e+02
1.74513514e+00,8.14722075e+02
1.79801802e+00,8.64257170e+02
1.85090090e+00,9.15218092e+02
1.90378378e+00,9.67601777e+02
1.95666667e+00,1.02140516e+03
2.00954955e+00,1.07662519e+03
2.06243243e+00,1.13325879e+03
2.11531532e+00,1.19130290e+03
2.16819820e+00,1.25075445e+03
2.22108108e+00,1.31161040e+03
2.27396396e+00,1.37386766e+03
2.32684685e+00,1.43752319e+03
2.37972973e+00,1.50257391e+03
2.43261261e+00,1.56901677e+03
2.48549550e+00,1.63684870e+03
2.53837838e+00,1.70606663e+03
2.59126126e+00,1.77666751e+03
2.64414414e+00,1.84864827e+03
2.69702703e+00,1.92200585e+03
2.74990991e+00,1.99673719e+03
2.80279279e+00,2.07283922e+03
2.85567568e+00,2.15030887e+03
2.90855856e+00,2.22914310e+03
2.96144144e+00,2.30933882e+03
3.01432432e+00,2.39089299e+03
3.06720721e+00,2.47380254e+03
3.12009009e+00,2.55806440e+03
3.17297297e+00,2.64367551e+03
3.22585586e+00,2.73063281e+03
3.27873874e+00,2.81893324e+03
3.33162162e+00,2.90857373e+03
3.38450450e+00,2.99955122e+03
3.43738739e+00,3.09186264e+03
3.49027027e+00,3.18550494e+03
3.54315315e+00,3.28047505e+03
3.59603604e+00,3.37676991e+03
3.64891892e+00,3.47438645e+03
3.70180180e+00,3.57332161e+03
3.75468468e+00,3.67357233e+03
3.80756757e+00,3.77513555e+03
3.86045045e+00,3.87800820e+03
3.91333333e+00,3.98218722e+03
3.96621622e+00,4.08766955e+03
4.01909910e+00,4.19445212e+03
4.07198198e+00,4.30253187e+03
4.12486486e+00,4.41190573e+03
4.17774775e+00,4.52257066e+03
4.23063063e+00,4.63452357e+03
4.28351351e+00,4.74776141e+03
4.33639640e+00,4.86228112e+03
4.38927928e+00,4.97807963e+03
4.44216216e+00,5.09515388e+03
4.49504505e+00,5.21350081e+03
4.54792793e+00,5.33311735e+03
4.60081081e+00,5.45400044e+03
4.65369369e+00,5.57614702e+03
4.70657658e+00,5.69955403e+03
4.75945946e+00,5.82421839e+03
4.81234234e+00,5.95013705e+03
4.86522523e+00,6.07730695e+03
4.91810811e+00,6.20572503e+03
4.97099099e+00,6.33538821e+03
5.02387387e+00,6.46629344e+03
5.07675676e+00,6.59843765e+03
5.12963964e+00,6.73181778e+03
5.18252252e+00,6.86643077e+03
5.23540541e+00,7.00227356e+03
5.28828829e+00,7.13934307e+03
5.34117117e+00,7.27763626e+03
5.39405405e+00,7.41715005e+03
5.44693694e+00,7.55788138e+03
5.49981982e+00,7.69982719e+03
5.55270270e+00,7.84298442e+03
5.60558559e+00,7.98735000e+03
5.65846847e+00,8.13292088e+03
5.71135135e+00,8.27969398e+03
5.76423423e+00,8.42766624e+03
5.81711712e+00,8.57683461e+03
5.87000000e+00,8.72719602e+03
