E_nu_MeV,X_times_N_nue
0.00000000e+00,0.00000000e+00
5.28828829e-02,1.52843712e+00
1.05765766e-01,6.10762249e+00
1.58648649e-01,1.37283671e+01
2.11531532e-01,2.43814820e+01
2.64414414e-01,3.80577780e+01
3.17297297e-01,5.47480664e+01
3.70180180e-01,7.44431580e+01
4.23063063e-01,9.71338638e+01
4.75945946e-01,1.22810995e+02
5.28828829e-01,1.51465362e+02
5.81711712e-01,1.83087777e+02
6.34594595e-01,2.17669049e+02
6.87477477e-01,2.55199991e+02
7.40360360e-01,2.95671414e+02
7.93243243e-01,3.39074127e+02
8.46126126e-01,3.85398943e+02
8.99009009e-01,4.34636672e+02
9.51891892e-01,4.86778125e+02
1.00477477e+00,5.41814113e+02
1.05765766e+00,5.99735448e+02
1.11054054e+00,6.60532940e+02
1.16342342e+00,7.24197400e+02
1.21630631e+00,7.90719639e+02
1.26918919e+00,8.60090469e+02
1.32207207e+00,9.32300700e+02
1.37495495e+00,1.00734114e+03
1.42783784e+00,1.08520261e+03
1.48072072e+00,1.16587591e+03
1.53360360e+00,1.24935185e+03
1.58648649e+00,1.33562126e+03
1.63936937e+00,1.42467493e+03
1.69225225e+00,1.51650367e+03
1.74513514e+00,1.61109831e+03
1.79801802e+00,1.70844965e+03
1.85090090e+00,1.80854849e+03
1.90378378e+00,1.91138566e+03
1.95666667e+00,2.01695197e+03
2.00954955e+00,2.12523822e+03
2.06243243e+00,2.23623522e+03
2.11531532e+00,2.34993379e+03
2.16819820e+00,2.46632473e+03
2.22108108e+00,2.58539887e+03
2.27396396e+00,2.70714700e+03
2.32684685e+00,2.83155995e+03
2.37972973e+00,2.95862851e+03
2.43261261e+00,3.08834351e+03
2.48549550e+00,3.22069575e+03
2.53837838e+00,3.35567604e+03
2.59126126e+00,3.49327520e+03
2.64414414e+00,3.63348404e+03
2.69702703e+00,3.77629336e+03
2.74990991e+00,3.92169399e+03
2.80279279e+00,4.06967672e+03
2.85567568e+00,4.22023237e+03
2.90855856e+00,4.37335175e+03
2.96144144e+00,4.52902567e+03
3.01432432e+00,4.68724495e+03
3.06720721e+00,4.84800039e+03
3.12009009e+00,5.01128281e+03
3.17297297e+00,5.17708301e+03
3.22585586e+00,5.34539181e+03
3.27873874e+00,5.51620002e+03
3.33162162e+00,5.68949845e+03
3.38450450e+00,5.86527791e+03
3.43738739e+00,6.04352921e+03
3.49027027e+00,6.22424316e+03
3.54315315e+00,6.40741057e+03
3.59603604e+00,6.59302226e+03
3.64891892e+00,6.78106904e+03
3.70180180e+00,6.97154171e+03
3.75468468e+00,7.16443109e+03
3.80756757e+00,7.35972798e+03
3.86045045e+00,7.55742321e+03
3.91333333e+00,7.75750757e+03
3.96621622e+00,7.95997189e+03
4.01909910e+00,8.16480697e+03
4.07198198e+00,8.37200362e+03
4.12486486e+00,8.58155265e+03
4.17774775e+00,8.79344488e+03
4.23063063e+00,9.00767112e+03
4.28351351e+00,9.22422218e+03
4.33639640e+00,9.44308886e+03
4.38927928e+00,9.66426198e+03
4.44216216e+00,9.88773235e+03
4.49504505e+00,1.01134908e+04
4.54792793e+00,1.03415281e+04
4.60081081e+00,1.05718351e+04
4.65369369e+00,1.08044026e+04
4.70657658e+00,1.10392213e+04
4.75945946e+00,1.12762823e+04
4.81234234e+00,1.15155761e+04
4.86522523e+00,1.17570937e+04
4.91810811e+00,1.20008258e+04
4.97099099e+00,1.22467633e+04
5.02387387e+00,1.24948969e+04
5.07675676e+00,1.27452175e+04
5.12963964e+00,1.29977160e+04
5.18252252e+00,1.32523830e+04
5.23540541e+00,1.35092094e+04
5.28828829e+00,1.37681861e+04
5.34117117e+00,1.40293038e+04
5.39405405e+00,1.42925534e+04
5.44693694e+00,1.45579256e+04
5.49981982e+00,1.48254113e+04
5.55270270e+00,1.50950012e+04
5.60558559e+00,1.53666863e+04
5.65846847e+00,1.56404573e+04
5.71135135e+00,1.59163049e+04
5.76423423e+00,1.61942201e+04
5.81711712e+00,1.64741937e+04
5.87000000e+00,1.67562164e+04
5.92288288e+00,1.70402790e+04
5.97576577e+00,1.73263724e+04
6.02864865e+00,1.76144874e+04
6.08153153e+00,1.79046148e+04
6.13441441e+00,1.81967454e+04
6.18729730e+00,1.84908700e+04
6.24018018e+00,1.87869794e+04
6.29306306e+00,1.90850644e+04
6.34594595e+00,1.93851160e+04
6.39882883e+00,1.96871247e+04
6.45171171e+00,1.99910815e+04
6.50459459e+00,2.02969773e+04
6.55747748e+00,2.06048026e+04
6.61036036e+00,2.09145485e+04
6.66324324e+00,2.12262058e+04
6.71612613e+00,2.15397651e+04
6.76900901e+00,2.18552174e+04
6.82189189e+00,2.21725534e+04
6.87477477e+00,2.24917639e+04
6.92765766e+00,2.28128399e+04
6.98054054e+00,2.31357720e+04
7.03342342e+00,2.34605511e+04
7.08630631e+00,2.37871680e+04
7.13918919e+00,2.41156135e+04
7.19207207e+00,2.44458785e+04
7.24495495e+00,2.47779536e+04
7.29783784e+00,2.51118299e+04
7.35072072e+00,2.54474979e+04
7.40360360e+00,2.57849487e+04
7.45648649e+00,2.61241729e+04
7.50936937e+00,2.64651614e+04
7.56225225e+00,2.68079050e+04
7.61513514e+00,2.71523945e+04
7.66801802e+00,2.74986207e+04
7.72090090e+00,2.78465745e+04
7.77378378e+00,2.81962466e+04
7.82666667e+00,2.85476279e+04
7.87954955e+00,2.89007091e+04
7.93243243e+00,2.92554811e+04
7.98531532e+00,2.96119347e+04
8.03819820e+00,2.99700607e+04
8.09108108e+00,3.03298499e+04
8.14396396e+00,3.06912931e+04
8.19684685e+00,3.10543811e+04
8.24972973e+00,3.14191048e+04
8.30261261e+00,3.17854550e+04
8.35549550e+00,3.21534224e+04
8.40837838e+00,3.25229979e+04
8.46126126e+00,3.28941722e+04
8.51414414e+00,3.32669363e+04
8.56702703e+00,3.36412809e+04
8.61990991e+00,3.40171968e+04
8.67279279e+00,3.43946748e+04
8.72567568e+00,3.47737058e+04
8.77855856e+00,3.51542805e+04
8.83144144e+00,3.55363898e+04
8.88432432e+00,3.59200244e+04
8.93720721e+00,3.63051753e+04
8.99009009e+00,3.66918331e+04
9.04297297e+00,3.70799887e+04
9.09585586e+00,3.74696330e+04
9.14873874e+00,3.78607567e+04
9.20162162e+00,3.82533506e+04
9.25450450e+00,3.86474056e+04
9.30738739e+00,3.90429124e+04
9.36027027e+00,3.94398620e+04
9.41315315e+00,3.98382450e+04
9.46603604e+00,4.02380522e+04
9.51891892e+00,4.06392747e+04
9.57180180e+00,4.10419030e+04
9.62468468e+00,4.14459280e+04
9.67756757e+00,4.18513406e+04
9.73045045e+00,4.22581315e+04
9.78333333e+00,4.26662916e+04
9.83621622e+00,4.30758117e+04
9.88909910e+00,4.34866826e+04
9.94198198e+00,4.38988950e+04
9.99486486e+00,4.43124399e+04
1.00477477e+01,4.47273079e+04
1.01006306e+01,4.51434900e+04
1.01535135e+01,4.55609770e+04
1.02063964e+01,4.59797595e+04
1.02592793e+01,4.63998286e+04
1.03121622e+01,4.68211749e+04
1.03650450e+01,4.72437893e+04
1.04179279e+01,4.76676626e+04
1.04708108e+01,4.80927856e+04
1.05236937e+01,4.85191491e+04
1.05765766e+01,4.89467439e+04
1.06294595e+01,4.93755609e+04
1.06823423e+01,4.98055908e+04
1.07352252e+01,5.02368245e+04
1.07881081e+01,5.06692527e+04
1.08409910e+01,5.11028664e+04
1.08938739e+01,5.15376562e+04
1.09467568e+01,5.19736130e+04
1.09996396e+01,5.24107277e+04
1.10525225e+01,5.28489909e+04
1.11054054e+01,5.32883936e+04
1.11582883e+01,5.37289266e+04
1.12111712e+01,5.41705806e+04
1.12640541e+01,5.46133464e+04
1.13169369e+01,5.50572150e+04
1.13698198e+01,5.55021770e+04
1.14227027e+01,5.59482234e+04
1.14755856e+01,5.63953448e+04
1.15284685e+01,5.68435322e+04
1.15813514e+01,5.72927764e+04
1.16342342e+01,5.77430680e+04
1.16871171e+01,5.81943980e+04
1.17400000e+01,5.86467572e+04
1.17928829e+01,5.91001364e+04
1.18457658e+01,5.95545264e+04
1.18986486e+01,6.00099179e+04
1.19515315e+01,6.04663019e+04
1.20044144e+01,6.09236691e+04
1.20572973e+01,6.13820103e+04
1.21101802e+01,6.18413164e+04
1.21630631e+01,6.23015781e+04
1.22159459e+01,6.27627863e+04
1.22688288e+01,6.32249318e+04
1.23217117e+01,6.36880054e+04
1.23745946e+01,6.41519978e+04
1.24274775e+01,6.46169000e+04
1.24803604e+01,6.50827027e+04
1.25332432e+01,6.55493968e+04
1.25861261e+01,6.60169729e+04
1.26390090e+01,6.64854221e+04
1.26918919e+01,6.69547350e+04
1.27447748e+01,6.74249024e+04
1.27976577e+01,6.78959153e+04
1.28505405e+01,6.83677644e+04
1.29034234e+01,6.88404404e+04
1.29563063e+01,6.93139343e+04
1.30091892e+01,6.97882368e+04
1.30620721e+01,7.02633388e+04
1.31149550e+01,7.07392310e+04
1.31678378e+01,7.12159043e+04
1.32207207e+01,7.16933495e+04
1.32736036e+01,7.21715573e+04
1.33264865e+01,7.26505187e+04
1.33793694e+01,7.31302243e+04
1.34322523e+01,7.36106651e+04
1.34851351e+01,7.40918318e+04
1.35380180e+01,7.45737153e+04
1.35909009e+01,7.50563063e+04
1.36437838e+01,7.55395957e+04
1.36966667e+01,7.60235742e+04
1.37495495e+01,7.65082327e+04
1.38024324e+01,7.69935620e+04
1.38553153e+01,7.74795530e+04
1.39081982e+01,7.79661963e+04
1.39610811e+01,7.84534829e+04
1.40139640e+01,7.89414035e+04
1.40668468e+01,7.94299490e+04
1.41197297e+01,7.99191102e+04
1.41726126e+01,8.04088778e+04
1.42254955e+01,8.08992427e+04
1.42783784e+01,8.13901957e+04
1.43312613e+01,8.18817276e+04
1.43841441e+01,8.23738292e+04
1.44370270e+01,8.28664913e+04
1.44899099e+01,8.33597048e+04
1.45427928e+01,8.38534605e+04
1.45956757e+01,8.43477491e+04
1.46485586e+01,8.48425614e+04
1.47014414e+01,8.53378884e+04
1.47543243e+01,8.58337207e+04
1.48072072e+01,8.63300493e+04
1.48600901e+01,8.68268649e+04
1.49129730e+01,8.73241583e+04
1.49658559e+01,8.78219203e+04
1.50187387e+01,8.83201418e+04
1.50716216e+01,8.88188136e+04
1.51245045e+01,8.93179264e+04
1.51773874e+01,8.98174711e+04
1.52302703e+01,9.03174385e+04
1.52831532e+01,9.08178194e+04
1.53360360e+01,9.13186047e+04
1.53889189e+01,9.18197850e+04
1.54418018e+01,9.23213513e+04
1.54946847e+01,9.28232943e+04
1.55475676e+01,9.33256049e+04
1.56004505e+01,9.38282739e+04
1.56533333e+01,9.43312921e+04
1.57062162e+01,9.48346502e+04
1.57590991e+01,9.53383392e+04
1.58119820e+01,9.58423497e+04
1.58648649e+01,9.63466727e+04
1.59177477e+01,9.68512989e+04
1.59706306e+01,9.73562192e+04
1.60235135e+01,9.78614243e+04
1.60763964e+01,9.83669052e+04
1.61292793e+01,9.88726524e+04
1.61821622e+01,9.93786570e+04
1.62350450e+01,9.98849097e+04
1.62879279e+01,1.00391401e+05
1.63408108e+01,1.00898123e+05
1.63936937e+01,1.01405064e+05
1.64465766e+01,1.01912218e+05
1.64994595e+01,1.02419573e+05
1.65523423e+01,1.02927121e+05
1.66052252e+01,1.03434853e+05
1.66581081e+01,1.03942760e+05
1.67109910e+01,1.04450832e+05
1.67638739e+01,1.04959061e+05
1.68167568e+01,1.05467436e+05
1.68696396e+01,1.05975949e+05
1.69225225e+01,1.06484591e+05
1.69754054e+01,1.06993352e+05
1.70282883e+01,1.07502224e+05
1.70811712e+01,1.08011196e+05
1.71340541e+01,1.08520261e+05
1.71869369e+01,1.09029408e+05
1.72398198e+01,1.09538629e+05
1.72927027e+01,1.10047914e+05
1.73455856e+01,1.10557254e+05
1.73984685e+01,1.11066640e+05
1.74513514e+01,1.11576063e+05
1.75042342e+01,1.12085514e+05
1.75571171e+01,1.12594982e+05
1.76100000e+01,1.13104460e+05
1.76628829e+01,1.13613938e+05
1.77157658e+01,1.14123407e+05
1.77686486e+01,1.14632858e+05
1.78215315e+01,1.15142281e+05
1.78744144e+01,1.15651667e+05
1.79272973e+01,1.16161007e+05
1.79801802e+01,1.16670292e+05
1.80330631e+01,1.17179513e+05
1.80859459e+01,1.17688660e+05
1.81388288e+01,1.18197724e+05
1.81917117e+01,1.18706697e+05
1.82445946e+01,1.19215569e+05
1.82974775e+01,1.19724330e+05
1.83503604e+01,1.20232972e+05
1.84032432e+01,1.20741485e+05
