E_MeV,phi_25m_2_per_MeV_cm2_s
0.0125,1.8845E+12
0.0375,5.5581E+12
0.0625,4.21347E+12
0.0875,4.29861E+12
0.1125,5.62484E+12
0.1375,7.37764E+12
0.1625,7.52408E+12
0.1875,7.88503E+12
0.2125,8.99718E+12
0.2375,8.00679E+12
0.2625,7.70847E+12
0.2875,7.45178E+12
0.3125,7.23737E+12
0.3375,7.23197E+12
0.3625,6.7917E+12
0.3875,6.88179E+12
0.4125,6.86013E+12
0.4375,6.89374E+12
0.4625,6.86694E+12
0.4875,7.0698E+12
0.5125,6.82737E+12
0.5375,6.61061E+12
0.5625,6.38178E+12
0.5875,6.03305E+12
0.6125,5.93892E+12
0.6375,6.04154E+12
0.6625,6.03026E+12
0.6875,6.05194E+12
0.7125,6.12968E+12
0.7375,6.16153E+12
0.7625,6.07881E+12
0.7875,6.10186E+12
0.8125,6.0876E+12
0.8375,6.12062E+12
0.8625,6.12991E+12
0.8875,6.0846E+12
0.9125,5.98294E+12
0.9375,5.68057E+12
0.9625,5.62665E+12
0.9875,5.56828E+12
1.0125,5.39144E+12
1.0375,5.27818E+12
1.0625,5.25835E+12
1.0875,5.22006E+12
1.1125,5.11416E+12
1.1375,5.02238E+12
1.1625,4.97816E+12
1.1875,4.91488E+12
1.2125,4.75983E+12
1.2375,4.63454E+12
1.2625,4.50573E+12
1.2875,4.36805E+12
1.3125,4.23433E+12
1.3375,4.17868E+12
1.3625,4.0879E+12
1.3875,4.05541E+12
1.4125,3.99399E+12
1.4375,3.95184E+12
1.4625,3.90847E+12
1.4875,3.85895E+12
1.5125,3.77495E+12
1.5375,3.72517E+12
1.5625,3.64403E+12
1.5875,3.60321E+12
1.6125,3.56636E+12
1.6375,3.52418E+12
1.6625,3.46927E+12
1.6875,3.42243E+12
1.7125,3.38515E+12
1.7375,3.34509E+12
1.7625,3.29075E+12
1.7875,3.20496E+12
1.8125,3.1382E+12
1.8375,3.09549E+12
1.8625,3.05944E+12
1.8875,3.02661E+12
1.9125,2.98725E+12
1.9375,2.89824E+12
1.9625,2.85839E+12
1.9875,2.80778E+12
2.0125,2.77152E+12
2.0375,2.73668E+12
2.0625,2.70311E+12
2.0875,2.62885E+12
2.1125,2.58009E+12
2.1375,2.534E+12
2.1625,2.48803E+12
2.1875,2.45275E+12
2.2125,2.40933E+12
2.2375,2.36267E+12
2.2625,2.30637E+12
2.2875,2.23777E+12
2.3125,2.19263E+12
2.3375,2.1456E+12
2.3625,2.11242E+12
2.3875,2.08574E+12
2.4125,2.06039E+12
2.4375,2.03463E+12
2.4625,2.00579E+12
2.4875,1.96994E+12
2.5125,1.91283E+12
2.5375,1.88523E+12
