E_MeV,phi_500m_1_per_MeV_cm2_s,dphi_500m_1_per_MeV_cm2_s
0.0125,14133750925.583624,720673286.0168438
0.0375,41685725908.6579,1409404598.7940505
0.0625,31601057957.566555,1406511965.9089344
0.0875,32239581613.988873,2008078125.8480027
0.1125,42186334123.53105,1918300706.1474783
0.1375,55332291863.56107,2080332201.6627614
0.1625,56430594154.53222,2076698859.1568627
0.1875,59137728303.81216,2259739312.4585433
0.2125,67478836647.56631,2626085914.653708
0.2375,60050937704.92954,3345812438.5619736
0.2625,57813504026.63133,3687767642.729857
0.2875,55888326007.814926,3404486686.1966543
0.3125,54280304796.59776,3077133140.6910377
0.3375,54239782605.35399,2878442631.7596617
0.3625,50937734156.26307,2920297079.6719
0.3875,51613426725.07286,2892211251.4453225
0.4125,51450961501.81088,2813519241.039692
0.4375,51703029674.11248,2662261073.9052377
0.4625,51502029226.49507,2474487573.64704
0.4875,53023493032.756645,2386732484.3793344
0.5125,51205257306.7239,2288901357.98242
0.5375,49579600908.785736,2238411603.0815897
0.5625,47863377427.5911,2095089314.8261454
0.5875,45247897078.06964,1728273036.9853122
0.6125,44541925509.47513,1631577300.4454622
0.6375,45311555171.87709,1588896753.4364996
0.6625,45226929077.44237,1476518927.864818
0.6875,45389577586.45613,1371870689.3702796
0.7125,45972632240.309,1323791095.419066
0.7375,46211441613.970764,1297546838.5201879
0.7625,45591048727.92427,1261955455.7209878
0.7875,45763941119.78053,1175985802.7275834
0.8125,45657025514.39794,1116760785.4671443
0.8375,45904647676.305244,1091916243.0513139
0.8625,45974337883.27275,1067367985.2974632
0.8875,45634528173.58589,1020705109.6892802
0.9125,44872054260.722046,984039250.5784693
0.9375,42604285096.61149,811658207.6086221
0.9625,42199905634.90396,772704069.651709
0.9875,41762067777.49232,762410693.6999311
1.0125,40435769280.832146,745038020.1364267
1.0375,39586321058.79417,684557848.1121682
1.0625,39437614573.54255,662311258.7389666
1.0875,39150426334.56033,655920756.0571854
1.1125,38356201189.9997,611436838.6701338
1.1375,37667827957.388466,589322134.1894007
1.1625,37336207753.769684,565900084.3496964
1.1875,36861616920.25228,557935750.3644588
1.2125,35698691571.59671,505516638.28548527
1.2375,34759031084.287254,463874983.6552957
1.2625,33792991483.802586,482479357.9379385
1.2875,32760403184.456886,493255622.8791643
1.3125,31757498050.641293,496261126.8995783
1.3375,31340091818.578743,498517328.07789564
1.3625,30659225489.158363,469068691.99560064
1.3875,30415569102.70304,552047481.2334337
1.4125,29954944975.33687,478930263.43156505
1.4375,29638816946.306755,519568721.8926199
1.4625,29313546684.818607,538803707.2710633
1.4875,28942129896.88368,548177317.6305292
1.5125,28312107767.87907,540129602.9238881
1.5375,27938794376.872326,545033936.0539371
1.5625,27330192620.684353,570507998.2743285
1.5875,27024062480.2663,638469347.159448
1.6125,26747669156.73383,610609643.892158
1.6375,26431317879.988686,639673849.8895795
1.6625,26019531212.58336,462157270.37362134
1.6875,25668198353.26202,465014080.69970214
1.7125,25388635382.316776,464251897.46466506
1.7375,25088203485.99221,473554093.9672617
1.7625,24680633289.67676,478653634.76158965
1.7875,24037186913.973457,480355583.3547031
1.8125,23536535487.634872,469899757.8908683
1.8375,23216172389.300156,471614941.5603095
1.8625,22945780343.225998,474864286.2885958
1.8875,22699564386.111538,474194126.28957546
1.9125,22404379882.73468,479923545.16033447
1.9375,21736811415.118885,466862788.3369598
1.9625,21437933679.64483,464195661.609657
1.9875,21058325104.07645,463537127.6338813
2.0125,20786380694.74874,452570920.690985
2.0375,20525129429.227386,457832814.41373676
2.0625,20273313819.298977,448226447.26091146
2.0875,19716390279.378906,448674478.22435486
2.1125,19350699197.287983,454659439.7976042
2.1375,19004970194.391956,443428279.0600262
2.1625,18660191940.52924,430347463.8602889
2.1875,18395638447.90531,425539134.4884197
2.2125,18069974803.063488,418035116.6040873
2.2375,17719991579.541367,396742407.7661973
2.2625,17297747101.42738,369262134.02290297
2.2875,16783246995.005816,367980126.5190988
2.3125,16444711746.99599,339134638.5771281
2.3375,16092010757.36822,332680409.10667795
2.3625,15843149581.013206,332158411.6347961
2.3875,15643033965.931274,331208704.3769185
2.4125,15452922987.363829,336861553.23128223
2.4375,15259701101.321262,333088927.52611727
2.4625,15043430682.84121,330805389.6773037
2.4875,14774543322.218102,321668716.61724514
2.5125,14346188092.990797,290230315.6008599
2.5375,14139238802.435696,277686851.5869534
2.5625,13910821848.436174,275457664.0810459
