E_MeV,phi_25m_1_per_MeV_cm2_s
0.0125,974909530993.87 
0.0375,2875373402907.92 
0.0625,2179759127957.68 
0.0875,2223802835936.46 
0.1125,2909904060943.67 
0.1375,3816678176482.90 
0.1625,3892436223799.41 
0.1875,4079167325663.87 
0.2125,4654515374896.78 
0.2375,4142158144847.68 
0.2625,3987825764899.55 
0.2875,3855031971568.53 
0.3125,3744114833357.31 
0.3375,3741319717561.90 
0.3625,3513552968185.05 
0.3875,3560160491469.07 
0.4125,3548954061169.91 
0.4375,3566341070813.06 
0.4625,3552476580548.01 
0.4875,3657423213157.88 
0.5125,3532006022191.66 
0.5375,3419872454477.37 
0.5625,3301491803937.98 
0.5875,3121082743788.21 
0.6125,3072386653524.73 
0.6375,3125473714218.09 
0.6625,3119636425414.17 
0.6875,3130855498289.77 
0.7125,3171073098141.67 
0.7375,3187545550196.27 
0.7625,3144752455797.48 
0.7875,3156678125178.85 
0.8125,3149303363641.84 
0.8375,3166383699003.63 
0.8625,3171190748975.51 
0.8875,3147751555343.03 
0.9125,3095158079718.71 
0.9375,2938733236531.21 
0.9625,2910840188646.57 
0.9875,2880639267286.91 
1.0125,2789154632235.35 
1.0375,2730561894036.50 
1.0625,2720304505848.77 
1.0875,2700495004970.53 
1.1125,2645711411622.67 
1.1375,2598229208993.86 
1.1625,2575354906278.30 
1.1875,2542618859820.81 
1.2125,2462403281365.52 
1.2375,2397587934767.18 
1.2625,2330953025266.60 
1.2875,2259727758886.49 
1.3125,2190549960382.22 
1.3375,2161758359619.16 
1.3625,2114793963728.80 
1.3875,2097987177285.95 
1.4125,2066214518043.58 
1.4375,2044408825404.84 
1.4625,2021972525250.46 
1.4875,1996353157225.98 
1.5125,1952895862588.66 
1.5375,1927145671796.68 
1.5625,1885165898995.30 
1.5875,1864049834817.47 
1.6125,1844984939247.03 
1.6375,1823163847559.14 
1.6625,1794759869810.89 
1.6875,1770525839162.75 
1.7125,1751242309523.49 
1.7375,1730519295464.20 
1.7625,1702406158970.63 
1.7875,1658022894566.20 
1.8125,1623489255915.49 
1.8375,1601391439165.38 
1.8625,1582740496170.10 
1.8875,1565757157172.72 
1.9125,1545396094687.68 
