E_MeV,phi_per_MeV_cm2_s
1.2500E-02,4.4148E+13
3.7500E-02,4.2417E+13
6.2500E-02,4.0754E+13
8.7500E-02,3.9156E+13
1.1250E-01,3.7621E+13
1.3750E-01,3.6146E+13
1.6250E-01,3.4728E+13
1.8750E-01,3.3367E+13
2.1250E-01,3.2058E+13
2.3750E-01,3.0801E+13
2.6250E-01,2.9594E+13
2.8750E-01,2.8433E+13
3.1250E-01,2.7318E+13
3.3750E-01,2.6247E+13
3.6250E-01,2.5218E+13
3.8750E-01,2.4229E+13
4.1250E-01,2.3279E+13
4.3750E-01,2.2366E+13
4.6250E-01,2.1489E+13
4.8750E-01,2.0647E+13
5.1250E-01,1.9837E+13
5.3750E-01,1.9059E+13
5.6250E-01,1.8312E+13
5.8750E-01,1.7594E+13
6.1250E-01,1.6904E+13
6.3750E-01,1.6241E+13
6.6250E-01,1.5604E+13
6.8750E-01,1.4993E+13
7.1250E-01,1.4405E+13
7.3750E-01,1.3840E+13
7.6250E-01,1.3297E+13
7.8750E-01,1.2776E+13
8.1250E-01,1.2275E+13
8.3750E-01,1.1794E+13
8.6250E-01,1.1331E+13
8.8750E-01,1.0887E+13
9.1250E-01,1.0460E+13
9.3750E-01,1.0050E+13
9.6250E-01,9.6558E+12
9.8750E-01,9.2772E+12
1.0125E+00,8.9134E+12
1.0375E+00,8.5639E+12
1.0625E+00,8.2281E+12
1.0875E+00,7.9055E+12
1.1125E+00,7.5955E+12
1.1375E+00,7.2977E+12
1.1625E+00,7.0115E+12
1.1875E+00,6.7366E+12
1.2125E+00,6.4725E+12
1.2375E+00,6.2187E+12
1.2625E+00,5.9748E+12
1.2875E+00,5.7406E+12
1.3125E+00,5.5155E+12
1.3375E+00,5.2992E+12
1.3625E+00,5.0914E+12
1.3875E+00,4.8918E+12
1.4125E+00,4.7000E+12
1.4375E+00,4.5157E+12
1.4625E+00,4.3386E+12
1.4875E+00,4.1685E+12
1.5125E+00,4.0051E+12
1.5375E+00,3.8480E+12
1.5625E+00,3.6971E+12
1.5875E+00,3.5522E+12
1.6125E+00,3.4129E+12
1.6375E+00,3.2791E+12
1.6625E+00,3.1505E+12
1.6875E+00,3.0270E+12
1.7125E+00,2.9083E+12
1.7375E+00,2.7942E+12
1.7625E+00,2.6847E+12
1.7875E+00,2.5794E+12
1.8125E+00,2.4783E+12
1.8375E+00,2.3811E+12
1.8625E+00,2.2877E+12
1.8875E+00,2.1980E+12
1.9125E+00,2.1118E+12
1.9375E+00,2.0290E+12
1.9625E+00,1.9495E+12
1.9875E+00,1.8730E+12
2.0125E+00,1.8075E+12
2.0375E+00,1.7512E+12
2.0625E+00,1.6958E+12
2.0875E+00,1.6414E+12
2.1125E+00,1.5878E+12
2.1375E+00,1.5352E+12
2.1625E+00,1.4835E+12
2.1875E+00,1.4328E+12
2.2125E+00,1.3829E+12
