Energy (MeV),Be7_Flux (cm^{-2} s^{-1}),pep_Flux (cm^{-2} s^{-1})
0.000000e+00,9.987298e-55,8.782555e-172
1.000000e-03,1.409632e-54,1.562024e-171
2.000000e-03,1.988795e-54,2.777031e-171
3.000000e-03,2.804791e-54,4.935146e-171
4.000000e-03,3.954005e-54,8.766891e-171
5.000000e-03,5.571860e-54,1.556745e-170
6.000000e-03,7.848551e-54,2.763221e-170
7.000000e-03,1.105109e-53,4.902754e-170
8.000000e-03,1.555417e-53,8.695426e-170
9.000000e-03,2.188341e-53,1.541586e-169
1.000000e-02,3.077581e-53,2.731940e-169
1.100000e-02,4.326435e-53,4.839503e-169
1.200000e-02,6.079630e-53,8.569523e-169
1.300000e-02,8.539854e-53,1.516837e-168
1.400000e-02,1.199085e-52,2.683782e-168
1.500000e-02,1.682968e-52,4.746592e-168
1.600000e-02,2.361174e-52,8.391565e-168
1.700000e-02,3.311359e-52,1.482963e-167
1.800000e-02,4.642062e-52,2.619653e-167
1.900000e-02,6.504920e-52,4.625766e-167
2.000000e-02,9.111695e-52,8.164879e-167
2.100000e-02,1.275800e-51,1.440596e-166
2.200000e-02,1.785634e-51,2.540744e-166
2.300000e-02,2.498208e-51,4.479255e-166
2.400000e-02,3.493743e-51,7.893635e-166
2.500000e-02,4.884045e-51,1.390512e-165
2.600000e-02,6.824873e-51,2.448490e-165
2.700000e-02,9.533135e-51,4.309715e-165
2.800000e-02,1.331077e-50,7.582718e-165
2.900000e-02,1.857792e-50,1.333606e-164
3.000000e-02,2.591893e-50,2.344534e-164
3.100000e-02,3.614627e-50,4.120138e-164
3.200000e-02,5.038904e-50,7.237578e-164
3.300000e-02,7.021582e-50,1.270870e-163
3.400000e-02,9.780480e-50,2.230669e-163
3.500000e-02,1.361795e-49,3.913772e-163
3.600000e-02,1.895350e-49,6.864077e-163
3.700000e-02,2.636899e-49,1.203359e-162
3.800000e-02,3.667109e-49,2.108794e-162
3.900000e-02,5.097771e-49,3.694024e-162
4.000000e-02,7.083750e-49,6.468320e-162
4.100000e-02,9.839486e-49,1.132165e-161
4.200000e-02,1.366180e-48,1.980860e-161
4.300000e-02,1.896136e-48,3.464372e-161
4.400000e-02,2.630617e-48,6.056495e-161
4.500000e-02,3.648143e-48,1.058387e-160
4.600000e-02,5.057227e-48,1.848817e-160
4.700000e-02,7.007762e-48,3.228269e-160
4.800000e-02,9.706720e-48,5.634713e-160
4.900000e-02,1.343977e-47,9.831055e-160
5.000000e-02,1.860106e-47,1.714568e-159
5.100000e-02,2.573414e-47,2.989067e-159
5.200000e-02,3.558835e-47,5.208861e-159
5.300000e-02,4.919630e-47,9.073528e-159
5.400000e-02,6.798033e-47,1.579923e-158
5.500000e-02,9.389887e-47,2.749932e-158
5.600000e-02,1.296474e-46,4.784474e-158
5.700000e-02,1.789342e-46,8.320947e-158
5.800000e-02,2.468593e-46,1.446564e-157
5.900000e-02,3.404330e-46,2.513788e-157
6.000000e-02,4.692888e-46,4.366627e-157
6.100000e-02,6.466585e-46,7.582106e-157
6.200000e-02,8.907095e-46,1.316012e-156
6.300000e-02,1.226376e-45,2.283264e-156
6.400000e-02,1.687863e-45,3.959849e-156
6.500000e-02,2.322079e-45,6.864793e-156
6.600000e-02,3.193326e-45,1.189604e-155
6.700000e-02,4.389710e-45,2.060649e-155
6.800000e-02,6.031906e-45,3.568056e-155
6.900000e-02,8.285136e-45,6.175691e-155
7.000000e-02,1.137551e-44,1.068479e-154
7.100000e-02,1.561236e-44,1.847874e-154
7.200000e-02,2.141867e-44,3.194516e-154
7.300000e-02,2.937262e-44,5.520319e-154
7.400000e-02,4.026422e-44,9.535634e-154
7.500000e-02,5.517242e-44,1.646498e-153
7.600000e-02,7.557028e-44,2.841837e-153
7.700000e-02,1.034681e-43,4.903016e-153
7.800000e-02,1.416081e-43,8.455783e-153
7.900000e-02,1.937295e-43,1.457708e-152
8.000000e-02,2.649293e-43,2.511965e-152
8.100000e-02,3.621517e-43,4.326961e-152
8.200000e-02,4.948542e-43,7.450383e-152
8.300000e-02,6.759121e-43,1.282332e-151
8.400000e-02,9.228467e-43,2.206219e-151
8.500000e-02,1.259491e-42,3.794226e-151
8.600000e-02,1.718253e-42,6.522648e-151
8.700000e-02,2.343177e-42,1.120859e-150
8.800000e-02,3.194108e-42,1.925326e-150
8.900000e-02,4.352315e-42,3.305856e-150
9.000000e-02,5.928124e-42,5.674005e-150
9.100000e-02,8.071246e-42,9.734685e-150
9.200000e-02,1.098475e-41,1.669477e-149
9.300000e-02,1.494397e-41,2.861970e-149
9.400000e-02,2.032208e-41,4.904289e-149
9.500000e-02,2.762463e-41,8.400659e-149
9.600000e-02,3.753628e-41,1.438391e-148
9.700000e-02,5.098379e-41,2.461880e-148
9.800000e-02,6.922125e-41,4.211947e-148
9.900000e-02,9.394484e-41,7.203198e-148
1.000000e-01,1.274479e-40,1.231386e-147
1.010000e-01,1.728299e-40,2.104210e-147
