Energy_MeV,Flux
0.000000e+00,3.329099e-55
8.078249e-03,5.324157e-54
1.615650e-02,8.296431e-53
2.423475e-02,1.259599e-51
3.231299e-02,1.863207e-50
4.039124e-02,2.685138e-49
4.846949e-02,3.769985e-48
5.654774e-02,5.156708e-47
6.462599e-02,6.871619e-46
7.270424e-02,8.920599e-45
8.078249e-02,1.128168e-43
8.886073e-02,1.389936e-42
9.693898e-02,1.668226e-41
1.050172e-01,1.950540e-40
1.130955e-01,2.221977e-39
1.211737e-01,2.466158e-38
1.292520e-01,2.666791e-37
1.373302e-01,2.809541e-36
1.454085e-01,2.883717e-35
1.534867e-01,2.883599e-34
1.615650e-01,2.809166e-33
1.696432e-01,2.666097e-32
1.777215e-01,2.465060e-31
1.857997e-01,2.220392e-30
1.938780e-01,1.948411e-29
2.019562e-01,1.665631e-28
2.100345e-01,1.387165e-27
2.181127e-01,1.125540e-26
2.261910e-01,8.897676e-26
2.342692e-01,6.852822e-25
2.423475e-01,5.142022e-24
2.504257e-01,3.758944e-23
2.585040e-01,2.677081e-22
2.665822e-01,1.857453e-21
2.746605e-01,1.255546e-20
2.827387e-01,8.268069e-20
2.908170e-01,5.304334e-19
2.988952e-01,3.315217e-18
3.069734e-01,7.309798e+07
3.150517e-01,7.642864e+07
3.231299e-01,7.952515e+07
3.312082e-01,8.281089e+07
3.392864e-01,8.613093e+07
3.473647e-01,8.884974e+07
3.554429e-01,9.140024e+07
3.635212e-01,9.389508e+07
3.715994e-01,9.642146e+07
3.796777e-01,9.935216e+07
3.877559e-01,1.025249e+08
3.958342e-01,1.059328e+08
4.039124e-01,1.095674e+08
4.119907e-01,1.127514e+08
4.200689e-01,1.156868e+08
4.281472e-01,1.186814e+08
4.362254e-01,1.216184e+08
4.443037e-01,1.246894e+08
4.523819e-01,1.282715e+08
4.604602e-01,1.315731e+08
4.685384e-01,1.337791e+08
4.766167e-01,1.355179e+08
4.846949e-01,1.376219e+08
4.927732e-01,1.424879e+08
5.008514e-01,1.492521e+08
5.089297e-01,1.534630e+08
5.170079e-01,1.551452e+08
5.250862e-01,1.565494e+08
5.331644e-01,1.580816e+08
5.412427e-01,1.602357e+08
5.493209e-01,1.629840e+08
5.573992e-01,1.657984e+08
5.654774e-01,1.681481e+08
5.735557e-01,1.699269e+08
5.816339e-01,1.715019e+08
5.897121e-01,1.730264e+08
5.977904e-01,1.745837e+08
6.058686e-01,1.761216e+08
6.139469e-01,1.777571e+08
6.220251e-01,1.796039e+08
6.301034e-01,1.819033e+08
6.381816e-01,1.845782e+08
6.462599e-01,1.874990e+08
6.543381e-01,1.906397e+08
6.624164e-01,1.946276e+08
6.704946e-01,2.001716e+08
6.785729e-01,2.080708e+08
6.866511e-01,2.198425e+08
6.947294e-01,2.383993e+08
7.028076e-01,2.682169e+08
7.108859e-01,3.155794e+08
7.189641e-01,3.890276e+08
7.270424e-01,4.993656e+08
7.351206e-01,6.597920e+08
7.431989e-01,8.859552e+08
7.512771e-01,1.195236e+09
7.593554e-01,1.605754e+09
7.674336e-01,2.133682e+09
7.755119e-01,2.790599e+09
7.835901e-01,3.580622e+09
7.916684e-01,4.497167e+09
7.997466e-01,5.521448e+09
8.078249e-01,6.620801e+09
8.159031e-01,7.748798e+09
8.239814e-01,8.847586e+09
8.320596e-01,9.851396e+09
8.401379e-01,1.069418e+10
8.482161e-01,1.131657e+10
8.562944e-01,1.167248e+10
8.643726e-01,1.173473e+10
8.724509e-01,1.149800e+10
8.805291e-01,1.098072e+10
8.886073e-01,1.022183e+10
8.966856e-01,9.276108e+09
9.047638e-01,8.207663e+09
9.128421e-01,7.082322e+09
9.209203e-01,5.961845e+09
9.289986e-01,4.898629e+09
9.370768e-01,3.932065e+09
9.451551e-01,3.087285e+09
9.532333e-01,2.375487e+09
9.613116e-01,1.796019e+09
9.693898e-01,1.339555e+09
9.774681e-01,9.911402e+08
9.855463e-01,7.331851e+08
9.936246e-01,5.478269e+08
1.001703e+00,4.182991e+08
1.009781e+00,3.300590e+08
1.017859e+00,2.712066e+08
1.025938e+00,2.319480e+08
1.034016e+00,2.054797e+08
1.042094e+00,1.877251e+08
1.050172e+00,1.760848e+08
1.058251e+00,1.685158e+08
1.066329e+00,1.632276e+08
1.074407e+00,1.591932e+08
1.082485e+00,1.557330e+08
1.090564e+00,1.523837e+08
1.098642e+00,1.489324e+08
1.106720e+00,1.453979e+08
1.114798e+00,1.416831e+08
1.122877e+00,1.377103e+08
1.130955e+00,1.334167e+08
1.139033e+00,1.287064e+08
1.147111e+00,1.234527e+08
1.155190e+00,1.170886e+08
1.163268e+00,1.103247e+08
1.171346e+00,1.041989e+08
1.179424e+00,9.776938e+07
1.187503e+00,9.047978e+07
1.195581e+00,7.779418e+07
1.203659e+00,7.157623e+07
1.211737e+00,7.096246e+07
1.219816e+00,7.036214e+07
1.227894e+00,6.979342e+07
1.235972e+00,6.927447e+07
1.244050e+00,6.880926e+07
1.252129e+00,6.837335e+07
1.260207e+00,6.795659e+07
1.268285e+00,6.754808e+07
