#T2K anti-nu_e, flux is multiplied as flux*5.518e-9 to correct unit
Energy_MeV,Flux_per_cm2_s_MeV
5,0.01688508
15,0.09711508
25,0.179335
35,0.3415122
45,0.4519242
55,0.612498
65,0.811154
75,0.921366
85,1.086846
95,1.197426
105,1.346452
115,1.456742
125,1.567082
135,1.743178
145,1.748696
155,1.887136
165,2.103978
175,2.279204
185,2.184628
195,2.36174
205,2.538308
215,2.659356
225,2.70298
235,2.598698
245,2.934896
255,2.929378
265,3.068188
275,3.00754
285,3.128886
295,3.150928
305,3.095778
315,3.244964
325,3.112412
335,3.343548
345,3.47676
355,3.14541
365,3.465724
375,3.608662
385,3.559612
395,3.487576
405,3.699818
415,3.652898
425,3.658416
435,3.56513
445,3.78103
455,3.868118
465,3.722406
475,3.514796
485,3.71387
495,3.757498
505,3.999538
515,3.719646
525,3.554092
535,3.746462
545,3.67494
555,3.64735
565,3.570446
575,3.795176
585,3.81173
595,3.828284
605,3.53126
615,3.828284
625,3.922618
635,3.415122
645,3.514796
655,3.977498
665,3.950408
675,3.581482
685,3.641862
695,3.570446
705,3.382494
715,3.42064
725,3.272024
735,3.729968
745,3.360898
755,3.426158
765,3.630824
775,3.205848
785,3.442622
795,3.360898
810,3.304818
830,3.249638
850,3.482058
870,3.426158
890,3.073706
925,3.095748
975,3.112212
1025,3.123232
1075,2.901868
1125,3.046116
1175,2.907386
1250,2.770026
1350,2.670392
1450,2.521846
1550,2.284722
1650,2.31762
1750,2.173592
1850,1.953282
1950,1.90323
2050,1.743178
2150,1.732142
2250,1.688508
2350,1.484258
2500,1.429078
2700,1.18647
2900,1.065264
3100,0.932402
3300,0.8937156
3500,0.68975
3700,0.623534
3900,0.532383
4250,0.4243362
4750,0.278679
5500,0.1947818
6500,0.0998778
7500,0.04860978
8500,0.02157538
9500,0.01086846
10500,0.005008332
11500,0.002797626
12500,0.001781854
13500,0.00121396
14500,0
15500,0.0000623534
16500,0
17500,0
18500,0.000102083
19500,0
20500,0
21500,0
22500,0
23500,0
24500,0
25500,0
26500,0
27500,0
28500,0
29500,0
