#T2K nu_e, flux is multiplied as flux*5.518e-9 to correct unit
Energy_MeV,Flux_per_cm2_s_MeV
5,0.0943578
15,0.411131
25,1.340934
35,2.26238
45,3.663452
55,5.512482
65,6.78714
75,8.71524
85,10.98062
95,13.29838
105,15.50558
115,17.71278
125,19.14146
135,21.99982
145,23.6174
155,26.31946
165,26.97722
175,29.62566
185,30.95778
195,32.22992
205,34.09524
215,35.75964
225,35.088
235,39.06144
245,38.95108
255,39.82956
265,40.21642
275,42.64864
285,43.97826
295,44.29894
305,45.46772
315,46.74076
325,47.12762
335,47.4483
345,48.98564
355,49.49746
365,49.92706
375,50.198
385,50.25318
395,51.52532
405,53.5146
415,51.0382
425,52.85544
435,50.42302
445,52.03214
455,54.12482
465,50.81778
475,50.7626
485,54.18
495,51.97696
505,51.36068
515,48.82092
525,51.415
535,52.29828
545,52.35346
555,48.5586
565,47.23796
575,46.4678
585,48.33818
595,46.96198
605,48.71054
615,47.78978
625,45.46772
635,44.02364
645,46.13068
655,43.85892
665,43.42266
675,39.94002
685,43.53298
695,40.0002
705,40.11586
715,40.5521
725,40.0002
735,38.57082
745,37.95992
755,40.17104
765,36.41862
775,34.54228
785,36.52898
795,34.97892
810,32.99224
830,32.71634
850,30.89788
870,29.62566
890,29.68084
925,27.36888
975,25.16328
1025,22.17576
1075,19.64908
1125,18.42342
1175,16.83228
1250,14.67742
1350,13.07706
1450,11.42196
1550,10.4842
1650,9.711508
1750,9.04748
1850,8.88198
1950,8.05628
2050,7.99564
2150,7.4493
2250,7.28376
2350,6.78714
2500,6.399948
2700,5.73872
2900,5.0198
3100,4.364278
3300,3.868118
3500,3.288228
3700,2.830384
3900,2.571188
4250,1.815458
4750,1.219478
5500,0.739412
6500,0.3619818
7500,0.17161
8500,0.088288
9500,0.04265414
10500,0.0236174
11500,0.01010194
12500,0.00499329
13500,0.002444934
14500,0.001616754
15500,0.000651214
16500,0
17500,0
18500,0
19500,0
20500,0
21500,0
22500,0
23500,0
24500,0
25500,0
26500,0
27500,0
28500,0
29500,0
