#T2K nu_mu, flux is multiplied as flux*5.518e-9 to correct unit
Energy_MeV,Flux_per_cm2_s_MeV
5,7.4493
15,40.17104
25,86.0812
35,141.8126
45,196.4908
55,250.5272
65,302.3864
75,359.2218
85,448.1616
95,568.354
105,623.534
115,673.196
125,739.412
135,805.628
145,877.281
155,954.614
165,1042.902
175,1142.196
185,1247.068
195,1368.464
205,1499.776
215,1644.364
225,1793.35
235,1964.348
245,2141.084
255,2322.998
265,2521.846
275,2736.888
285,2958.008
295,3172.45
305,3409.524
315,3641.88
325,3906.144
335,4126.964
345,4347.784
355,4596.594
365,4850.382
375,5081.778
385,5368.594
395,5627.16
405,5903.46
415,623.534
425,6511.64
435,6841.12
445,7170.6
455,7449.3
465,7784.318
475,8056.28
485,8333.58
495,8547.9
505,8772.81
515,8937.156
525,9047.48
535,9102.66
545,9157.84
555,9157.84
565,9102.66
575,9102.66
585,9004.94
595,8881.98
605,8772.81
615,8608.12
625,8498.92
635,8278.4
645,8169.2
655,8004.5
665,7839.8
675,7675.1
685,7449.3
695,7234.98
705,6997.06
715,6732.36
725,6467.66
735,6180.16
745,5959.64
755,5627.16
765,5389.246
775,5076.26
785,4817.074
795,4546.068
810,4149.536
830,3658.334
850,3216.734
870,2819.348
890,2477.588
925,2013.97
975,1545.04
1025,1230.344
1075,1042.902
1125,866.346
1175,755.966
1250,623.534
1350,4916.638
1450,403.2058
1550,3437.354
1650,2907.386
1750,2565.67
1850,2239.988
1950,2046.978
2050,1759.242
2150,1600.22
2250,1494.258
2350,1357.428
2500,1197.426
2700,1026.438
2900,948.896
3100,904.748
3300,833.358
3500,767.51
3700,739.412
3900,678.714
4250,606.98
4750,4712.132
5500,2969.038
6500,1605.738
7500,954.614
8500,573.872
9500,3482.058
10500,1953.282
11500,1274.658
12500,854.79
13500,467.4194
14500,228.4722
15500,114.7744
16500,60.698
17500,373.5706
18500,249.4616
19500,150.0896
20500,0
21500,0
22500,0
23500,0
24500,0
25500,0
26500,0
27500,0
28500,0
29500,0
